hex,red,green,blue,vibrancy
#b1afb1,177,175,177,0
#b1b0ae,177,176,174,0
#b1b134,177,177,52,1
#b1b2b3,177,178,179,0
#b1b3b2,177,179,178,0
#b1bda9,177,189,169,0
#b1bdc8,177,189,200,0
#b1beab,177,190,171,0
#b1c1c3,177,193,195,0
#b1c7d0,177,199,208,0
#b1c9ce,177,201,206,0
#b1ccb9,177,204,185,0
#b1ceb7,177,206,183,0
#b1d1af,177,209,175,0
#b1d3d1,177,211,209,0
#b21889,178,24,137,1
#b22746,178,39,70,1
#b24020,178,64,32,1
#b24f3f,178,79,63,1
#b2643c,178,100,60,1
#b27701,178,119,1,1
#b294bb,178,148,187,1
#b2a29b,178,162,155,0
#b2abb1,178,171,177,0
#b2aeb3,178,174,179,0
#b2afb1,178,175,177,0
#b2b0af,178,176,175,0
#b2b0b1,178,176,177,0
#b2b0b2,178,176,178,0
#b2b1af,178,177,175,0
#b2b1b0,178,177,176,0
#b2b1b3,178,177,179,0
#b2b2b1,178,178,177,0
#b2b2b4,178,178,180,0
#b2b2ca,178,178,202,0
#b2b3b1,178,179,177,0
#b2b3b2,178,179,178,0
#b2b3b3,178,179,179,0
#b2b4b2,178,180,178,0
#b2b4b3,178,180,179,0
#b2b4b4,178,180,180,0
#b2b5ae,178,181,174,0
#b2b5c7,178,181,199,0
#b2c7bd,178,199,189,0
#b2c8bd,178,200,189,0
#b2cccc,178,204,204,0
#b2ccd6,178,204,214,1
#b2d4bf,178,212,191,0
#b2d4cc,178,212,204,0
#b2d5d5,178,213,213,0
#b31d28,179,29,40,1
#b31e8d,179,30,141,1
#b32317,179,35,23,1
#b33508,179,53,8,1
#b3588e,179,88,142,1
#b36144,179,97,68,1
#b3812a,179,129,42,1
#b38686,179,134,134,1
#b386b2,179,134,178,1
#b38a61,179,138,97,1
#b39d9f,179,157,159,0
#b39f9f,179,159,159,1
#b3a0aa,179,160,170,0
#b3a4c1,179,164,193,0
#b3a7a1,179,167,161,0
#b3a9c1,179,169,193,0
#b3a9c4,179,169,196,0
#b3aeae,179,174,174,0
#b3b1b7,179,177,183,0
#b3b2b4,179,178,180,0
#b3b3b3,179,179,179,0
#b3b3b5,179,179,181,0
#b3b4b2,179,180,178,0
#b3b4b4,179,180,180,0
#b3b4c7,179,180,199,0
#b3b5b3,179,181,179,0
#b3b6cc,179,182,204,0
#b3baa3,179,186,163,0
#b3baaa,179,186,170,0
#b3bfd4,179,191,212,0
#b3c0bb,179,192,187,0
#b3c2cf,179,194,207,0
#b3c7d8,179,199,216,1
#b3d1ac,179,209,172,0
#b3d1d4,179,209,212,0
#b3d5d1,179,213,209,0
#b3d5d3,179,213,211,0
#b3dcff,179,220,255,1
#b3deef,179,222,239,1
#b3ebf2,179,235,242,1
#b4009e,180,0,158,1
#b41428,180,20,40,1
#b45a3c,180,90,60,1
#b45bcf,180,91,207,1
#b45ea4,180,94,164,1
#b4637a,180,99,122,1
#b48ead,180,142,173,1
#b49368,180,147,104,1
#b4a19d,180,161,157,0
#b4a1bb,180,161,187,0
#b4a2ac,180,162,172,0
#b4a3bc,180,163,188,0
#b4a490,180,164,144,0
#b4a7a4,180,167,164,0
#b4ada0,180,173,160,0
#b4b0b5,180,176,181,0
#b4b0b9,180,176,185,0
#b4b2b2,180,178,178,0
#b4b3b2,180,179,178,0
#b4b3b3,180,179,179,0
#b4b3b4,180,179,180,0
#b4b3b5,180,179,181,0
#b4b49f,180,180,159,0
#b4b4b2,180,180,178,0
#b4b4b3,180,180,179,0
#b4b4b4,180,180,180,0
#b4b4b5,180,180,181,0
#b4b5b2,180,181,178,0
#b4b5b3,180,181,179,0
#b4b5b4,180,181,180,0
#b4b6b5,180,182,181,0
#b4b6ce,180,182,206,0
#b4b7b4,180,183,180,0
#b4baad,180,186,173,0
#b4bbc3,180,187,195,0
#b4bdd1,180,189,209,0
#b4bebd,180,190,189,0
#b4c3d2,180,195,210,0
#b4c3d3,180,195,211,0
#b4c4be,180,196,190,0
#b4c9a7,180,201,167,0
#b4cbb5,180,203,181,0
#b4d0ba,180,208,186,0
#b4d4c2,180,212,194,0
#b4d4c7,180,212,199,0
#b4d5bc,180,213,188,0
#b4f1b4,180,241,180,1
#b50938,181,9,56,1
#b51f29,181,31,41,1
#b52e31,181,46,49,1
#b52f2c,181,47,44,1
#b53b50,181,59,80,1
#b57614,181,118,20,1
#b58900,181,137,0,1
#b59ea0,181,158,160,0
#b5a1a3,181,161,163,0
#b5a6ab,181,166,171,0
#b5aea3,181,174,163,0
#b5afc0,181,175,192,0
#b5b0cc,181,176,204,0
#b5b2d1,181,178,209,0
#b5b3aa,181,179,170,0
#b5b3b3,181,179,179,0
#b5b3b4,181,179,180,0
#b5b3d0,181,179,208,0
#b5b4b3,181,180,179,0
#b5b4b5,181,180,181,0
#b5b4b6,181,180,182,0
#b5b4bb,181,180,187,0
#b5b5b3,181,181,179,0
#b5b5b5,181,181,181,0
#b5b5b6,181,181,182,0
#b5b6b4,181,182,180,0
#b5b6b5,181,182,181,0
#b5b6b6,181,182,182,0
#b5b6b7,181,182,183,0
#b5bbad,181,187,173,0
#b5bd68,181,189,104,1
#b5c327,181,195,39,1
#b5c4b8,181,196,184,0
#b5c6ac,181,198,172,0
#b5c7aa,181,199,170,0
#b5cbb6,181,203,182,0
#b5cbcd,181,203,205,0
#b5cfb0,181,207,176,0
#b5d1b0,181,209,176,0
#b5d5c1,181,213,193,0
#b5d6cc,181,214,204,0
#b5d7be,181,215,190,0
#b5d8f6,181,216,246,1
#b5e4f4,181,228,244,1
#b62b6e,182,43,110,1
#b64926,182,73,38,1
#b65611,182,86,17,1
#b6a1ba,182,161,186,0
#b6a3aa,182,163,170,0
#b6a6c8,182,166,200,0
#b6abab,182,171,171,0
#b6acb2,182,172,178,0
#b6acd0,182,172,208,0
#b6acd1,182,172,209,0
#b6afa3,182,175,163,0
#b6afcd,182,175,205,0
#b6b18b,182,177,139,1
#b6b1a1,182,177,161,0
#b6b2b6,182,178,182,0
#b6b3ba,182,179,186,0
#b6b3eb,182,179,235,1
#b6b5b5,182,181,181,0
#b6b5b6,182,181,182,0
#b6b5b7,182,181,183,0
#b6b6ae,182,182,174,0
#b6b6b5,182,182,181,0
#b6b6b6,182,182,182,0
#b6b6b7,182,182,183,0
#b6b6ba,182,182,186,0
#b6b6c2,182,182,194,0
#b6b7b6,182,183,182,0
#b6b7b7,182,183,183,0
#b6b8b7,182,184,183,0
#b6bdb5,182,189,181,0
#b6bdca,182,189,202,0
#b6bfd6,182,191,214,0
#b6c2b3,182,194,179,0
#b6cad3,182,202,211,0
#b6ceac,182,206,172,0
#b6cfb6,182,207,182,0
#b6d3cf,182,211,207,0
#b6d5c2,182,213,194,0
#b7295a,183,41,90,1
#b72dd2,183,45,210,1
#b74989,183,73,137,1
#b75501,183,85,1,1
#b7a0b4,183,160,180,0
#b7a1b6,183,161,182,0
#b7a39e,183,163,158,0
#b7a57a,183,165,122,1
#b7a68e,183,166,142,0
#b7a6ac,183,166,172,0
#b7a7c8,183,167,200,0
#b7a9b2,183,169,178,0
#b7aaa0,183,170,160,0
#b7aabc,183,170,188,0
#b7acc0,183,172,192,0
#b7af9f,183,175,159,0
#b7afb5,183,175,181,0
#b7b5b6,183,181,182,0
#b7b6b5,183,182,181,0
#b7b6b6,183,182,182,0
#b7b7b6,183,183,182,0
#b7b7b7,183,183,183,0
#b7b7b8,183,183,184,0
#b7b7d1,183,183,209,0
#b7b8b7,183,184,183,0
#b7b8b8,183,184,184,0
#b7b8b9,183,184,185,0
#b7ba53,183,186,83,1
#b7babf,183,186,191,0
#b7bbaf,183,187,175,0
#b7bbc1,183,187,193,0
#b7bec9,183,190,201,0
#b7bed4,183,190,212,0
#b7bfa8,183,191,168,0
#b7c0d5,183,192,213,0
#b7c5ac,183,197,172,0
#b7cabd,183,202,189,0
#b7cdb0,183,205,176,0
#b7cdbf,183,205,191,0
#b7ceb9,183,206,185,0
#b7cfbd,183,207,189,0
#b7d2b4,183,210,180,0
#b7d3cc,183,211,204,0
#b7d6c1,183,214,193,0
#b7d6ca,183,214,202,0
#b83c82,184,60,130,1
#b84592,184,69,146,1
#b854d4,184,84,212,1
#b870ce,184,112,206,1
#b888e2,184,136,226,1
#b89859,184,152,89,1
#b8a29f,184,162,159,0
#b8a59f,184,165,159,0
#b8a6a2,184,166,162,0
#b8a7b0,184,167,176,0
#b8abbc,184,171,188,0
#b8afad,184,175,173,0
#b8afd1,184,175,209,0
#b8b0cc,184,176,204,0
#b8b1c6,184,177,198,0
#b8b2b1,184,178,177,0
#b8b4b1,184,180,177,0
#b8b4d4,184,180,212,0
#b8b7b7,184,183,183,0
#b8b7b8,184,183,184,0
#b8b8b8,184,184,184,0
#b8b8b9,184,184,185,0
#b8b9b7,184,185,183,0
#b8b9b8,184,185,184,0
#b8b9b9,184,185,185,0
#b8bb26,184,187,38,1
#b8bbc2,184,187,194,0
#b8bbd1,184,187,209,0
#b8bbd6,184,187,214,0
#b8bdb5,184,189,181,0
#b8c1ad,184,193,173,0
#b8c1c3,184,193,195,0
#b8c4c3,184,196,195,0
#b8c6d3,184,198,211,0
#b8c8b8,184,200,184,0
#b8cc1c,184,204,28,1
#b8cfc3,184,207,195,0
#b8d2b6,184,210,182,0
#b8d4c7,184,212,199,0
#b8d5d7,184,213,215,0
#b8d7a3,184,215,163,1
#b8d8a2,184,216,162,1
#b900b1,185,0,177,1
#b90c13,185,12,19,1
#b98eb2,185,142,178,1
#b99353,185,147,83,1
#b9a6c8,185,166,200,0
#b9a7a3,185,167,163,0
#b9a9b1,185,169,177,0
#b9acb2,185,172,178,0
#b9acc7,185,172,199,0
#b9adac,185,173,172,0
#b9afa9,185,175,169,0
#b9b1be,185,177,190,0
#b9b5b8,185,181,184,0
#b9b5c1,185,181,193,0
#b9b6b0,185,182,176,0
#b9b7a0,185,183,160,0
#b9b8b9,185,184,185,0
#b9b9a7,185,185,167,0
#b9b9b8,185,185,184,0
#b9b9b9,185,185,185,0
#b9b9ba,185,185,186,0
#b9b9bc,185,185,188,0
#b9bab9,185,186,185,0
#b9bfad,185,191,173,0
#b9bfb1,185,191,177,0
#b9c1c7,185,193,199,0
#b9c8d0,185,200,208,0
#b9ca4a,185,202,74,1
#b9caad,185,202,173,0
#b9cac5,185,202,197,0
#b9cfed,185,207,237,1
#b9d3b0,185,211,176,0
#b9d4c7,185,212,199,0
#b9d5ca,185,213,202,0
#b9dca4,185,220,164,1
#ba0c2f,186,12,47,1
#ba2026,186,32,38,1
#ba4724,186,71,36,1
#ba6236,186,98,54,1
#ba8baf,186,139,175,1
#ba8cfc,186,140,252,1
#ba9cef,186,156,239,1
#baa58c,186,165,140,1
#baa8a7,186,168,167,0
#baa9a1,186,169,161,0
#baae9e,186,174,158,1
#baaec7,186,174,199,0
#bab0c2,186,176,194,0
#bab3c7,186,179,199,0
#bab4b1,186,180,177,0
#bab696,186,182,150,1
#bab7b4,186,183,180,0
#bab9b9,186,185,185,0
#bab9ba,186,185,186,0
#babab9,186,186,185,0
#bababa,186,186,186,0
#bababb,186,186,187,0
#babbba,186,187,186,0
#bac1c5,186,193,197,0
#bac3a4,186,195,164,0
#bac3bb,186,195,187,0
#bac5d2,186,197,210,0
#bac7cf,186,199,207,0
#bac9d4,186,201,212,0
#bacec7,186,206,199,0
#bacfb3,186,207,179,0
#bad0af,186,208,175,0
#bad1bf,186,209,191,0
#bad2b4,186,210,180,0
#baeeba,186,238,186,1
#bb1166,187,17,102,1
#bb1e10,187,30,16,1
#bb60ea,187,96,234,1
#bb64a9,187,100,169,1
#bb66cc,187,102,204,1
#bb8801,187,136,1,1
#bb8a35,187,138,53,1
#bb90e2,187,144,226,1
#bb9584,187,149,132,1
#bb99b4,187,153,180,1
#bb9af7,187,154,247,1
#bba8c9,187,168,201,0
#bba9b0,187,169,176,0
#bba9c4,187,169,196,0
#bbaadd,187,170,221,1
#bbacc3,187,172,195,0
#bbb529,187,181,41,1
#bbb7c7,187,183,199,0
#bbbab6,187,186,182,0
#bbbaba,187,186,186,0
#bbbabb,187,186,187,0
#bbbbbb,187,187,187,0
#bbbbbc,187,187,188,0
#bbbcbb,187,188,187,0
#bbbecf,187,190,207,0
#bbc1ce,187,193,206,0
#bbc1cf,187,193,207,0
#bbc3af,187,195,175,0
#bbc5b9,187,197,185,0
#bbc6c0,187,198,192,0
#bbc7be,187,199,190,0
#bbc7cf,187,199,207,0
#bbcacd,187,202,205,0
#bbcbc1,187,203,193,0
#bbcfcb,187,207,203,0
#bbd0d3,187,208,211,0
#bbd3b8,187,211,184,0
#bbd4c1,187,212,193,0
#bbd634,187,214,52,1
#bbd9d2,187,217,210,0
#bbdac4,187,218,196,0
#bbdac8,187,218,200,0
#bbdaff,187,218,255,1
#bc0024,188,0,36,1
#bc6060,188,96,96,1
#bc9458,188,148,88,1
#bc9b6a,188,155,106,1
#bca2a6,188,162,166,0
#bca7a2,188,167,162,0
#bcadbc,188,173,188,0
#bcb1a1,188,177,161,0
#bcb1c1,188,177,193,0
#bcb3bb,188,179,187,0
#bcb4d3,188,180,211,0
#bcb5bd,188,181,189,0
#bcbabe,188,186,190,0
#bcbbbb,188,187,187,0
#bcbbd1,188,187,209,0
#bcbcbc,188,188,188,0
#bcbdbc,188,189,188,0
#bcbdc8,188,189,200,0
#bcc0aa,188,192,170,0
#bcc0cd,188,192,205,0
#bcc1b1,188,193,177,0
#bcc6d3,188,198,211,0
#bcc9ac,188,201,172,0
#bccbc4,188,203,196,0
#bccdc0,188,205,192,0
#bccdc8,188,205,200,0
#bcced6,188,206,214,0
#bcd2d4,188,210,212,0
#bcd3d1,188,211,209,0
#bcd7c6,188,215,198,0
#bcdacf,188,218,207,0
#bd0017,189,0,23,1
#bd0152,189,1,82,1
#bd1d65,189,29,101,1
#bd2c00,189,44,0,1
#bd5187,189,81,135,1
#bd63c5,189,99,197,1
#bda0ae,189,160,174,0
#bda1ae,189,161,174,0
#bda2a1,189,162,161,0
#bda4a0,189,164,160,0
#bdaac0,189,170,192,0
#bdabbe,189,171,190,0
#bdadb7,189,173,183,0
#bdadd1,189,173,209,0
#bdae93,189,174,147,0
#bdb0b6,189,176,182,0
#bdb3b0,189,179,176,0
#bdb3b1,189,179,177,0
#bdb6c5,189,182,197,0
#bdb9b3,189,185,179,0
#bdbba3,189,187,163,0
#bdbdbc,189,189,188,0
#bdbdbd,189,189,189,0
#bdc1ba,189,193,186,0
#bdc3c7,189,195,199,0
#bdc3d7,189,195,215,0
#bdc4b3,189,196,179,0
#bdcab0,189,202,176,0
#bdd0b6,189,208,182,0
#bdd1ca,189,209,202,0
#bdd5bc,189,213,188,0
#bdd7ca,189,215,202,0
#bdd8ce,189,216,206,0
#bde5f2,189,229,242,1
#be0027,190,0,39,1
#be4264,190,66,100,1
#be4678,190,70,120,1
#be5046,190,80,70,1
#be643c,190,100,60,1
#be6446,190,100,70,1
#be94bb,190,148,187,1
#bea3a2,190,163,162,0
#bea5a9,190,165,169,0
#beaaa3,190,170,163,0
#beabc8,190,171,200,0
#beaea3,190,174,163,0
#beaeae,190,174,174,0
#beaebd,190,174,189,0
#beafb0,190,175,176,0
#beb1a5,190,177,165,0
#beb55b,190,181,91,1
#beb6ae,190,182,174,0
#beb8d8,190,184,216,0
#bebbd5,190,187,213,0
#bebcbf,190,188,191,0
#bebdbd,190,189,189,0
#bebebe,190,190,190,0
#bebed2,190,190,210,0
#bebfc2,190,191,194,0
#bec5d8,190,197,216,0
#bec9d2,190,201,210,0
#beccb1,190,204,177,0
#beccc7,190,204,199,0
#becfd2,190,207,210,0
#becfd3,190,207,211,0
#bed6ff,190,214,255,1
#bed7ce,190,215,206,0
#bed8bc,190,216,188,0
#beda78,190,218,120,1
#bee6be,190,230,190,1
#bf033b,191,3,59,1
#bf0d3e,191,13,62,1
#bf3e05,191,62,5,1
#bf40bf,191,64,191,1
#bf5656,191,86,86,1
#bf568b,191,86,139,1
#bf5700,191,87,0,1
#bf5b20,191,91,32,1
#bf616a,191,97,106,1
#bf79db,191,121,219,1
#bf8b56,191,139,86,1
#bfa4a3,191,164,163,0
#bfaba7,191,171,167,0
#bfb6b0,191,182,176,0
#bfb6bc,191,182,188,0
#bfb9c6,191,185,198,0
#bfb9d1,191,185,209,0
#bfb9d6,191,185,214,0
#bfbacb,191,186,203,0
#bfbbcc,191,187,204,0
#bfbf56,191,191,86,1
#bfbfbf,191,191,191,0
#bfc5cc,191,197,204,0
#bfc9d4,191,201,212,0
#bfca02,191,202,2,1
#bfcbbf,191,203,191,0
#bfcbc0,191,203,192,0
#bfcdbb,191,205,187,0
#bfcdce,191,205,206,0
#bfd2b6,191,210,182,0
#bfd2b7,191,210,183,0
#bfd3cb,191,211,203,0
#bfd8c9,191,216,201,0
#bfd8db,191,216,219,0
#c02d2e,192,45,46,1
#c08b30,192,139,48,1
#c0aca8,192,172,168,0
#c0b4b1,192,180,177,0
#c0b9c0,192,185,192,0
#c0bbd4,192,187,212,0
#c0c0bd,192,192,189,0
#c0c0c0,192,192,192,0
#c0c1c1,192,193,193,0
#c0c1cc,192,193,204,0
#c0c2ab,192,194,171,0
#c0c4ba,192,196,186,0
#c0c5ce,192,197,206,0
#c0c6db,192,198,219,0
#c0caf5,192,202,245,1
#c0ccc3,192,204,195,0
#c0cdda,192,205,218,0
#c0d2d8,192,210,216,0
#c0d6c3,192,214,195,0
#c0d7d1,192,215,209,0
#c0dcd5,192,220,213,0
#c0de9e,192,222,158,1
#c13584,193,53,132,1
#c13832,193,56,50,1
#c18401,193,132,1,1
#c19c00,193,156,0,1
#c1a5bf,193,165,191,0
#c1a7ae,193,167,174,0
#c1a8a4,193,168,164,0
#c1a9b5,193,169,181,0
#c1a9c8,193,169,200,0
#c1b0d0,193,176,208,0
#c1b5a7,193,181,167,0
#c1babc,193,186,188,0
#c1bbb4,193,187,180,0
#c1bdd3,193,189,211,0
#c1bedb,193,190,219,0
#c1bfb3,193,191,179,0
#c1c0b0,193,192,176,0
#c1c1a5,193,193,165,0
#c1c1c1,193,193,193,0
#c1c3c4,193,195,196,0
#c1c3d8,193,195,216,0
#c1c6b8,193,198,184,0
#c1c6c9,193,198,201,0
#c1c8bb,193,200,187,0
#c1c9c6,193,201,198,0
#c1cbc3,193,203,195,0
#c1d0ce,193,208,206,0
#c1d1c6,193,209,198,0
#c1d1c9,193,209,201,0
#c1d72f,193,215,47,1
#c1d82f,193,216,47,1
#c1d9ce,193,217,206,0
#c1dad9,193,218,217,0
#c1dbdb,193,219,219,0
#c1dcda,193,220,218,0
#c1ddd8,193,221,216,0
#c1e4f6,193,228,246,1
#c21a30,194,26,48,1
#c28e0e,194,142,14,1
#c2a7bf,194,167,191,0
#c2a8ac,194,168,172,0
#c2a9c2,194,169,194,0
#c2aabd,194,170,189,0
#c2acb9,194,172,185,0
#c2adaf,194,173,175,0
#c2adb2,194,173,178,0
#c2afa7,194,175,167,0
#c2b1a5,194,177,165,0
#c2b3ca,194,179,202,0
#c2b8b4,194,184,180,0
#c2b9cf,194,185,207,0
#c2bcb2,194,188,178,0
#c2bcb8,194,188,184,0
#c2c1c3,194,193,195,0
#c2c3b6,194,195,182,0
#c2c3c6,194,195,198,0
#c2c3c7,194,195,199,0
#c2c3cf,194,195,207,0
#c2c4c1,194,196,193,0
#c2c5b6,194,197,182,0
#c2c8db,194,200,219,0
#c2cec5,194,206,197,0
#c2d2c2,194,210,194,0
#c2d3cf,194,211,207,0
#c2d9c7,194,217,199,0
#c2ff00,194,255,0,1
#c3092d,195,9,45,1
#c30f24,195,15,36,1
#c32128,195,33,40,1
#c33678,195,54,120,1
#c33ff3,195,63,243,1
#c35359,195,83,89,1
#c377e0,195,119,224,1
#c38418,195,132,24,1
#c397d8,195,151,216,1
#c3a8ac,195,168,172,0
#c3a9ab,195,169,171,0
#c3aec5,195,174,197,0
#c3afa6,195,175,166,0
#c3b1bd,195,177,189,0
#c3b9cb,195,185,203,0
#c3ba63,195,186,99,1
#c3bab3,195,186,179,0
#c3babd,195,186,189,0
#c3bcc6,195,188,198,0
#c3bed2,195,190,210,0
#c3bfce,195,191,206,0
#c3c3b4,195,195,180,0
#c3c3c3,195,195,195,0
#c3c3d5,195,195,213,0
#c3c7db,195,199,219,0
#c3cedb,195,206,219,0
#c3d0dc,195,208,220,0
#c3d2b9,195,210,185,0
#c3d3dc,195,211,220,0
#c3d5b7,195,213,183,0
#c3d8c6,195,216,198,0
#c3d8c7,195,216,199,0
#c3d9c6,195,217,198,0
#c3dadc,195,218,220,0
#c3e88d,195,232,141,1
#c41a15,196,26,21,1
#c41a16,196,26,22,1
#c42775,196,39,117,1
#c43060,196,48,96,1
#c43e18,196,62,24,1
#c4676c,196,103,108,1
#c4820e,196,130,14,1
#c48218,196,130,24,1
#c4a000,196,160,0,1
#c4a7e7,196,167,231,1
#c4aebe,196,174,190,0
#c4b2ba,196,178,186,0
#c4b3c2,196,179,194,0
#c4b3d1,196,179,209,0
#c4b4c4,196,180,196,0
#c4b6ab,196,182,171,0
#c4b7d3,196,183,211,0
#c4b9be,196,185,190,0
#c4bab0,196,186,176,0
#c4bad2,196,186,210,0
#c4beb1,196,190,177,0
#c4c3c5,196,195,197,0
#c4c4c4,196,196,196,0
#c4c8ae,196,200,174,0
#c4cab1,196,202,177,0
#c4cbac,196,203,172,0
#c4ccaa,196,204,170,0
#c4d0ba,196,208,186,0
#c4d2d8,196,210,216,0
#c4d4c3,196,212,195,0
#c4d4c9,196,212,201,0
#c4d5b1,196,213,177,0
#c4d6c6,196,214,198,0
#c4d7b8,196,215,184,0
#c4d9c4,196,217,196,0
#c4d9c9,196,217,201,0
#c4da7d,196,218,125,1
#c50233,197,2,51,1
#c50243,197,2,67,1
#c50253,197,2,83,1
#c50263,197,2,99,1
#c50f1f,197,15,31,1
#c56200,197,98,0,1
#c594c5,197,148,197,1
#c59820,197,152,32,1
#c59bc1,197,155,193,1
#c5a5b5,197,165,181,0
#c5a6b3,197,166,179,0
#c5a7c0,197,167,192,0
#c5acb8,197,172,184,0
#c5b1d0,197,177,208,0
#c5b2bb,197,178,187,0
#c5b5cb,197,181,203,0
#c5b7a6,197,183,166,0
#c5baae,197,186,174,0
#c5bb02,197,187,2,1
#c5beb2,197,190,178,0
#c5c0b5,197,192,181,0
#c5c2ca,197,194,202,0
#c5c2cc,197,194,204,0
#c5c3ce,197,195,206,0
#c5c5c7,197,197,199,0
#c5c7b0,197,199,176,0
#c5c7be,197,199,190,0
#c5c8c6,197,200,198,0
#c5c9bc,197,201,188,0
#c5cece,197,206,206,0
#c5d1da,197,209,218,0
#c5d2d9,197,210,217,0
#c5d4dd,197,212,221,0
#c5d7cc,197,215,204,0
#c5d9cf,197,217,207,0
#c5dad3,197,218,211,0
#c5fe00,197,254,0,1
#c6002b,198,0,43,1
#c63527,198,53,39,1
#c678dd,198,120,221,1
#c68143,198,129,67,1
#c6914b,198,145,75,1
#c6a6bb,198,166,187,0
#c6aeb3,198,174,179,0
#c6af92,198,175,146,1
#c6afb8,198,175,184,0
#c6afd1,198,175,209,0
#c6b3c3,198,179,195,0
#c6b4cb,198,180,203,0
#c6b4f0,198,180,240,1
#c6b6ad,198,182,173,0
#c6b6c0,198,182,192,0
#c6bbae,198,187,174,0
#c6bbd0,198,187,208,0
#c6c0c4,198,192,196,0
#c6c0dc,198,192,220,0
#c6c1ac,198,193,172,0
#c6c1ca,198,193,202,0
#c6c1da,198,193,218,0
#c6c2aa,198,194,170,0
#c6c4da,198,196,218,0
#c6c5fe,198,197,254,1
#c6c6c6,198,198,198,0
#c6c7e0,198,199,224,0
#c6c8c7,198,200,199,0
#c6cccf,198,204,207,0
#c6cdc8,198,205,200,0
#c6cedf,198,206,223,0
#c6d2c1,198,210,193,0
#c6d4c9,198,212,201,0
#c6d5c2,198,213,194,0
#c6d6c3,198,214,195,0
#c6d7ba,198,215,186,0
#c6dccc,198,220,204,0
#c6ded5,198,222,213,0
#c7053d,199,5,61,1
#c7202c,199,32,44,1
#c720ca,199,32,202,1
#c76b29,199,107,41,1
#c77c48,199,124,72,1
#c792ea,199,146,234,1
#c79595,199,149,149,1
#c795ae,199,149,174,1
#c7aacd,199,170,205,0
#c7adc6,199,173,198,0
#c7ae95,199,174,149,1
#c7afc0,199,175,192,0
#c7bbc5,199,187,197,0
#c7bec9,199,190,201,0
#c7c0ba,199,192,186,0
#c7c0c0,199,192,192,0
#c7c1bf,199,193,191,0
#c7c795,199,199,149,0
#c7c7a5,199,199,165,0
#c7c9c0,199,201,192,0
#c7c9cd,199,201,205,0
#c7ccd1,199,204,209,0
#c7d0b4,199,208,180,0
#c7d1d6,199,209,214,0
#c7dbdd,199,219,221,0
#c7ded6,199,222,214,0
#c7e1cd,199,225,205,0
#c800a1,200,0,161,1
#c8102e,200,16,46,1
#c822b0,200,34,176,1
#c82641,200,38,65,1
#c82829,200,40,41,1
#c85e0d,200,94,13,1
#c85e7c,200,94,124,1
#c88c8c,200,140,140,1
#c8a0d2,200,160,210,1
#c8aa76,200,170,118,1
#c8acab,200,172,171,0
#c8b1a8,200,177,168,0
#c8b2d0,200,178,208,0
#c8b7c8,200,183,200,0
#c8b9b9,200,185,185,0
#c8b9d9,200,185,217,0
#c8bcad,200,188,173,0
#c8bdb9,200,189,185,0
#c8bfbd,200,191,189,0
#c8c3af,200,195,175,0
#c8c3dc,200,195,220,0
#c8c4ab,200,196,171,0
#c8c4c6,200,196,198,0
#c8c874,200,200,116,1
#c8c8fa,200,200,250,1
#c8c9ce,200,201,206,0
#c8c9d5,200,201,213,0
#c8cbd6,200,203,214,0
#c8ccd1,200,204,209,0
#c8ccd4,200,204,212,0
#c8cce0,200,204,224,0
#c8d0b6,200,208,182,0
#c8d2cf,200,210,207,0
#c8d5dc,200,213,220,0
#c8dacd,200,218,205,0
#c8dad3,200,218,211,0
#c8dfde,200,223,222,0
#c90f23,201,15,35,1
#c91243,201,18,67,1
#c94922,201,73,34,1
#c9510c,201,81,12,1
#c98344,201,131,68,1
#c9b1cc,201,177,204,0
#c9b4d1,201,180,209,0
#c9b5ae,201,181,174,0
#c9b8bd,201,184,189,0
#c9b8cb,201,184,203,0
#c9bdda,201,189,218,0
#c9c1c1,201,193,193,0
#c9c2b6,201,194,182,0
#c9c2c9,201,194,201,0
#c9c3e6,201,195,230,0
#c9c5d8,201,197,216,0
#c9c8d0,201,200,208,0
#c9c9c9,201,201,201,0
#c9cad9,201,202,217,0
#c9cbe2,201,203,226,0
#c9ccd3,201,204,211,0
#c9cdb4,201,205,180,0
#c9cdba,201,205,186,0
#c9cdc3,201,205,195,0
#c9cfd3,201,207,211,0
#c9d05c,201,208,92,1
#c9d0d3,201,208,211,0
#c9d1d1,201,209,209,0
#c9d1d9,201,209,217,0
#c9d364,201,211,100,1
#c9d6ce,201,214,206,0
#c9d8cc,201,216,204,0
#c9dbdc,201,219,220,0
#c9dee0,201,222,224,0
#c9dfdb,201,223,219,0
#c9e0d0,201,224,208,0
#ca1243,202,18,67,1
#ca402b,202,64,43,1
#ca4949,202,73,73,1
#ca6924,202,105,36,1
#ca7f32,202,127,50,1
#caa7ae,202,167,174,0
#caa9aa,202,169,170,0
#cab2ae,202,178,174,0
#cab5c7,202,181,199,0
#cab6c9,202,182,201,0
#cabab6,202,186,182,0
#cabcb1,202,188,177,0
#cabeaf,202,190,175,0
#cac2c8,202,194,200,0
#cac4b8,202,196,184,0
#cac6bd,202,198,189,0
#cacbc9,202,203,201,0
#caced3,202,206,211,0
#cad0ce,202,208,206,0
#cad2ba,202,210,186,0
#cad3ff,202,211,255,0
#cad4be,202,212,190,0
#cad6d9,202,214,217,0
#cad8cb,202,216,203,0
#cad8d2,202,216,210,0
#cad9bd,202,217,189,0
